Wavelength (nm),N2 Baseline,0.15P DMMP,0.25P DMMP,0.50P DMMP,0.15P DCP,0.25P DCP,0.50 DCP,0.15P EtOH,0.25P EtOH,0.50P EtOH,0.15P MeOH,0.25P MeOH,0.50P MeOH,0.15P Water,0.25P Water,0.50P Water
697.445,0.302263,-1.15841,-0.813286,-0.974484,0.00620375,-0.0845076,0.158724,-3.79231,-5.94917,-7.40684,-1.78615,-1.71946,-3.27234,-1.94461,-2.12663,-3.80916
697.784,0.299564,-1.17158,-0.819815,-0.987665,0.0136264,-0.071339,0.172354,-3.78884,-5.94068,-7.41211,-1.79149,-1.7137,-3.2558,-1.94779,-2.12651,-3.82003
698.123,0.296841,-1.18476,-0.826509,-1.00092,0.021036,-0.0580595,0.185844,-3.78507,-5.93216,-7.41709,-1.79668,-1.70757,-3.23906,-1.95044,-2.12587,-3.83062
698.462,0.294095,-1.19789,-0.833312,-1.01417,0.0283942,-0.0447266,0.199131,-3.78103,-5.92364,-7.42178,-1.80169,-1.70106,-3.22212,-1.95257,-2.12474,-3.84095
698.801,0.291326,-1.21089,-0.840168,-1.02736,0.0356623,-0.0313989,0.212157,-3.77673,-5.91516,-7.42619,-1.80648,-1.69416,-3.205,-1.95416,-2.12313,-3.85107
699.14,0.288535,-1.2237,-0.847021,-1.04039,0.0428018,-0.0181352,0.224861,-3.77216,-5.90674,-7.43033,-1.81104,-1.68687,-3.18769,-1.9552,-2.12104,-3.86098
699.479,0.285722,-1.23626,-0.853813,-1.05321,0.0497743,-0.0049947,0.237187,-3.76736,-5.89842,-7.43421,-1.81533,-1.67919,-3.17022,-1.95571,-2.1185,-3.87072
699.818,0.282888,-1.24849,-0.86049,-1.06575,0.0565423,0.00796404,0.249078,-3.76231,-5.89021,-7.43782,-1.81934,-1.67111,-3.15259,-1.95569,-2.11551,-3.88031
700.157,0.280034,-1.26034,-0.866997,-1.07792,0.0630691,0.0206831,0.260482,-3.75705,-5.88214,-7.44117,-1.82303,-1.66264,-3.1348,-1.95513,-2.11211,-3.88977
700.495,0.277159,-1.27176,-0.873279,-1.08968,0.069319,0.0331056,0.271349,-3.75157,-5.87423,-7.44428,-1.82638,-1.65377,-3.11686,-1.95404,-2.1083,-3.89914
